t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.00642546743571417,0.00111636143146544,-0.00581220739115675,-0.00278851755790197,25.3503460569245,0.000283573969657706,0.0467760503202309,-64.0207774723179,-118.597078400012,-2.69551981484741,-0.00705525380622127,0.116222757680375,4.72027921306835e-05,-3.00974980303641e-05,0.00011639967478161
10,NaN,NaN,NaN,0.161263949290837,24.1341836207738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.151144651660977,0.0225667491368461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.0760015741680832,0.0343101029927409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.80370339846258,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,26.1385738343133,0.0587160738467453,NaN,NaN,362.951270017471,366.883956937555,NaN,NaN,NaN,NaN,NaN
30,NaN,0.0140808022451789,NaN,NaN,NaN,NaN,7.20512183069898,621.18222712199,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.110110834811238,NaN,NaN,0.0201749113566336,26.5702565501194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.0465790813428192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0565211318102916,5.34443379754179,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0125090823521133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000733050823731394,NaN,NaN
50,0.103051013633718,0.0101708363443666,NaN,NaN,21.5539292072123,0.090172763882081,NaN,NaN,681.46745418703,772.936543327924,NaN,NaN,NaN,0.000757081469305425,0.0207364194894312
