t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-0.00453821955517248,-0.000591708731093391,24.6697911797159,-0.00155614721008449,0.00902728601319839,3.34865182359095,-1.77941249151759,-0.000163623082887036,0.102865518197239,-6.57500132636162e-06,-6.32240758418452e-06
8.5,NaN,NaN,25.1323840925814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.0171610836490289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.150037680898979,NaN,NaN,NaN,NaN,NaN,-3.22955183196369,NaN,0.210873579706296,NaN,NaN
15,NaN,NaN,19.6364930802983,0.0208115155055211,0.182612959342103,-3.64998146465627,NaN,-0.000224281142231134,NaN,2.71498149869361e-05,1.79252149442615e-05
20,0.0902104907680236,0.0115888890500471,NaN,NaN,NaN,NaN,NaN,NaN,-0.119037884004839,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,19.2791012314602,12.5309618589126,NaN,NaN,4.64779759050399e-05,2.96550756396201e-05
30,NaN,0.00441640657994986,28.7828842279031,NaN,0.471852603621348,NaN,NaN,0.000985556890245986,NaN,NaN,NaN
35,0.0742133673866739,NaN,NaN,0.032796452911531,NaN,NaN,NaN,NaN,0.162920779422527,NaN,NaN
40,NaN,0.00398620467951981,24.0367653630193,NaN,NaN,59.5514625458362,46.647645189885,NaN,NaN,6.64810188738487e-05,6.17081155823931e-05
45,NaN,NaN,NaN,NaN,0.718206024271528,NaN,NaN,NaN,0.482724644186518,NaN,NaN
50,0.0660742475178675,NaN,NaN,NaN,NaN,NaN,NaN,0.00516616693552219,NaN,NaN,NaN
55,NaN,0.00285535409780381,22.6355959182398,0.047000883759768,NaN,71.6565133222426,59.5961508989062,NaN,NaN,7.98588180521996e-05,7.27497760093225e-05
60,0.0573044496944395,NaN,NaN,NaN,0.773114884009998,NaN,NaN,NaN,0.562079606497326,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00750323357972854,NaN,NaN,NaN
70,NaN,NaN,26.1622175544048,NaN,NaN,77.9941828455836,73.6290171803748,NaN,NaN,6.98790712719628e-05,8.15063281116347e-05
75,NaN,0.00268304720006452,NaN,0.0471277869863079,NaN,NaN,NaN,NaN,1.80165399029107,NaN,NaN
80,0.0579771525182796,NaN,NaN,NaN,0.825161862637176,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,86.5997539084502,0.00834467541963551,NaN,7.19705332136224e-05,NaN
90,NaN,0.00301173618283884,NaN,NaN,NaN,86.6514224659617,NaN,NaN,2.32173623174393,NaN,6.82631228627105e-05
95,NaN,NaN,NaN,0.050955981754961,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0546087347039066,0.0027865661699576,NaN,0.0445256465305833,0.691873787798717,81.4532216736579,83.3144780141781,0.00809797085881902,2.51667736046712,6.63923156175831e-05,7.15935495385365e-05
150,0.0585217665240995,NaN,NaN,0.0516302861832234,0.63885976341921,74.4384069781903,67.3414437585525,0.00813176758509795,3.80384020949989,6.69245796034726e-05,6.47588358220985e-05
200,0.0525433389196546,NaN,NaN,0.0586602072939283,0.674605313656008,68.4478176965556,71.3246723560641,0.0066876298909388,4.66661591970029,6.5752396403174e-05,6.24145559966622e-05
250,NaN,NaN,NaN,0.0472480034934612,0.66989357439763,63.056711380997,61.2729020939462,0.00700213006682257,4.81565607378111,5.72786880080761e-05,7.24466605329659e-05
300,NaN,NaN,NaN,0.0522138724961366,0.622295559857058,62.5860502338359,68.0220398811721,0.00600100496743456,4.8155126950076,5.73990262595369e-05,5.20279351332742e-05
