t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA4_Obs,CIS_Obs
0,-0.0112045597404012,-0.00411053401432874,-1.48399232101248,-9.18444451317655,-1.73523312365709
5.5,0.700676697673942,NaN,NaN,NaN,NaN
6,NaN,0.0993957477095407,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,2.67720289054211
9,NaN,NaN,NaN,-28.8223237400864,NaN
10,0.696349367274503,0.0694530457062982,8.67238990960923,NaN,NaN
15,NaN,NaN,NaN,NaN,-0.217082558395532
20,0.542585834364637,0.0342107783744084,12.4397150183311,400.298937135162,1.17006438706254
25,0.501518886425867,0.0258503246991505,NaN,NaN,NaN
30,0.444955544415622,NaN,13.1629716054562,909.107957454486,4.46543899535297
35,NaN,0.0219320891537304,NaN,NaN,NaN
40,0.410617326097518,0.0151341254453986,13.7324603506731,1392.98247305624,13.5108088506399
50,0.413371582947277,0.0168014255436184,NaN,1384.76483665625,25.7516046212279
55,NaN,NaN,12.3243115410366,NaN,NaN
60,0.356985850049906,NaN,NaN,NaN,30.2785494835216
65,NaN,0.0146885434871892,NaN,1358.17854024877,NaN
70,NaN,NaN,14.2134727608388,NaN,NaN
75,0.338889585023674,0.0053184392965064,NaN,NaN,45.0075265943144
80,NaN,NaN,NaN,1304.57883046933,NaN
85,NaN,NaN,10.0443024752187,NaN,NaN
90,0.324560124641837,0.0105076480064987,NaN,NaN,NaN
95,NaN,NaN,NaN,1174.74303289594,52.6010526157254
100,0.329722672227039,0.013681898483152,8.41961930820021,1169.01999470083,56.296955637729
150,NaN,NaN,8.32919444410533,833.03224626015,67.023245874696
200,NaN,NaN,8.11484582905902,818.598840054432,NaN
