t,epo_level,p12EpoRpJAK2_Obs
6,2.5e-09,-0.00218874373607671
6,7.905e-09,0.00171861331923106
6,7.905e-09,0.00402747225033992
6,7.905e-09,0.0367814583619958
6,1.25e-08,0.0213430939184769
6,1.75e-08,0.0373617757272987
6,1.75e-08,0.0413025965056252
6,1.75e-08,0.0522558876302292
6,2.5e-08,0.0312285203155649
6,3.95e-08,0.0525223542077159
6,3.95e-08,0.0696698497479354
6,3.95e-08,0.0760651966575418
6,7.9e-08,0.129759124982789
6,7.9e-08,0.134384517250071
6,7.9e-08,0.149415454486596
6,1.25e-07,0.175964915627035
6,1.25e-07,0.177553250977852
6,1.25e-07,0.18694093535413
6,1.7675e-07,0.232674032411764
6,2.5e-07,0.221234098785911
6,7.905e-07,0.25226864787183
6,7.905e-07,0.265994373741392
6,7.905e-07,0.26997214095064
6,2.5e-06,0.204484078820421
6,2.5e-06,0.210011984444198
6,2.5e-06,0.219342736449887
