t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-0.00455539057623384,-0.0044286025549059,26.5415042274264,0.0018946744766624,0.901898944890984,2.43081255178767,36.1903646032692,-0.00195383124606063,381.55188806114,-6.16195586537196e-05,2.79856095847206e-05
5,NaN,NaN,25.41280607604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,0.231854568389208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.336961860559768,0.191935367263715,25.3873189920516,NaN,NaN,4.27984166035695,NaN,NaN,460.983949663185,NaN,NaN
15,NaN,NaN,25.4157694237659,0.0464027849058611,2.33391571145322,NaN,69.8490505467942,-0.00326929424677935,NaN,0.000274141260430774,0.000185553124395535
20,0.227973235805887,0.0590411275071696,21.9576371054068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.0416418379843892,24.1840597798698,NaN,5.28626607708073,356.052048200769,131.853923300139,NaN,417.38414673243,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170828001525619,NaN,0.000492794764885113,NaN
35,0.143326141474333,0.033126852694506,27.874687432456,0.0708877422052402,NaN,567.180004649748,NaN,NaN,431.755801058266,NaN,0.000533444908084511
40,NaN,NaN,24.4226267929281,NaN,6.41422108118212,NaN,421.687266562086,NaN,NaN,NaN,NaN
45,0.160617446286216,0.0196356992678991,NaN,NaN,NaN,NaN,NaN,0.0499639102635337,NaN,NaN,NaN
50,NaN,NaN,25.2669568521415,0.0889804842084255,NaN,647.34924368482,NaN,NaN,479.923249912792,0.000658899227143369,NaN
55,NaN,NaN,NaN,NaN,7.40680780839211,NaN,670.202090321503,NaN,NaN,NaN,0.000645716974706642
60,0.13923409607188,0.0106275916579668,25.5933283198482,NaN,NaN,NaN,NaN,NaN,499.758220736366,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,647.350210464707,NaN,0.0630551796293647,NaN,0.000668471577439256,NaN
70,NaN,NaN,26.6043696092151,0.0832258849912338,NaN,NaN,747.952764182585,NaN,NaN,NaN,NaN
75,0.124273384643133,0.0124138788110287,NaN,NaN,5.88951921994355,NaN,NaN,NaN,NaN,NaN,0.000586977484024416
80,NaN,NaN,24.741449539873,NaN,NaN,669.74947920608,NaN,NaN,505.523489675994,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,728.200889320274,0.0648284972441421,NaN,0.000599773763992639,NaN
95,0.124562274372766,NaN,NaN,0.0944383331943658,5.45330967444047,NaN,NaN,NaN,492.445997799576,NaN,NaN
100,0.115802261172021,NaN,22.4501248076348,0.104551217343461,5.07382299279185,652.795207007531,707.968945779332,0.0631939832383878,546.776855160103,0.000583229372641226,0.000575581626266068
150,0.0745148665899629,NaN,NaN,0.108507852986579,3.72634079342495,463.426612846994,515.308936028748,0.0596360127489508,510.910855099897,0.000441785787528619,0.000392212001189153
200,NaN,NaN,NaN,0.122369726994426,5.02454482565356,435.551625716382,500.295529022441,0.0474201884321013,555.132807917297,0.000438108009981481,0.000432263968639717
250,NaN,NaN,NaN,0.129623695108979,4.31392475781813,453.563422995178,459.453238299204,0.0447840027490149,515.71608671796,0.000403318288077681,0.000365374855529426
300,NaN,NaN,NaN,0.107808198858051,3.78765712665044,377.017478475693,343.476384868231,0.0422503853544211,498.259427710805,0.000404409609608226,0.000387633039176301
