t,epo_level,SHP1_Obs,SHP1Act_Obs,CISnRNA2_Obs,CISRNA_Obs,SOCS3nRNA2_Obs
120,2.5e-09,24.6116055051052,0.0281235268890123,86.1570209255816,0.0135692694118039,5.39641854712392e-05
120,2.5e-09,27.0263429755758,0.00593412031559474,81.0556832637112,0.0188388497302527,0.000188353304354154
120,2.5e-09,28.3089625251632,0.0424374942300269,100.33062076072,0.012063227927437,0.000139492438164695
120,2.5e-08,22.7637496510498,0.0559347327025122,270.620750263654,0.0279130737823597,0.000266086803065336
120,2.5e-08,24.9930630352482,0.0548483260941404,307.455413625419,0.0343210550503429,0.000357020868273439
120,2.5e-08,27.2004273424507,0.0315428816700291,295.951783305106,0.0393123534858626,0.000248354186836488
120,1.25e-07,20.3618387175001,0.101626914328847,526.034683596494,0.0655925471342724,0.000520772144148935
120,1.25e-07,21.6241781881181,0.106189101964841,528.410811093992,0.0581600354669854,0.000512662681639949
120,1.25e-07,22.0675266202262,0.109049684800328,546.671193492436,0.0635604170334464,0.000501977021457289
120,2.5e-07,19.2269729108025,0.138058153348473,648.50100003961,0.0686533515580482,0.000585655727580221
120,2.5e-07,22.6943376811605,0.150200162650141,669.208274723585,0.0743237027729479,0.000605561935023087
120,2.5e-07,22.8324550469983,0.163772858857628,736.437453132317,0.0833620472557211,0.000567239259698295
120,2.5e-06,22.7255748628388,0.432904141421507,1161.29228372395,0.112467480412448,0.000912754647800993
120,2.5e-06,25.1421254982783,0.38567180525752,1040.43911066159,0.119469025745894,0.00096852905364351
120,2.5e-06,26.581142002761,0.427883319144128,1038.71039897296,0.119756442571621,0.000938106560711382
