t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,0.0114224775213955,0.000216707488767603,60.908380219188,0.0121863409845209,-0.18985871799904,-12.6339585823864,-23.4192552552161,-0.000821623625835898,0.908079594746211,-4.6943960266064e-05
5.5,NaN,NaN,59.2168219673323,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.145577619075066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.0244560786803459,NaN,NaN,NaN,NaN,NaN,NaN,-1.81483402711893,NaN
8.5,NaN,NaN,NaN,NaN,NaN,60.0550599651819,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,33.2028126446651,NaN,NaN,NaN
10,NaN,NaN,64.1468754523393,0.0654756325512789,1.73317943691063,NaN,NaN,0.00443790972432522,NaN,NaN
15,0.109705978540023,0.0129579979177256,NaN,NaN,NaN,141.424949928245,NaN,NaN,0.108887776881121,0.000267372381363524
20,0.107894083722377,NaN,61.0220781578304,0.131395283371755,4.08325836246704,NaN,83.9196151009394,0.0029566973947138,NaN,NaN
25,NaN,0.00853126766353476,68.2499258595893,NaN,NaN,305.357146450499,NaN,NaN,-0.593877121044648,0.000438931112408091
30,0.0930806987358317,NaN,NaN,NaN,5.39984890809904,NaN,248.197743755041,NaN,0.760775297363118,NaN
35,NaN,0.00691138934307707,54.1467765044563,0.125318246901234,NaN,451.722913334294,NaN,0.0262624738019916,NaN,NaN
40,0.0844053009028672,NaN,65.424974967048,NaN,5.87911666174691,NaN,443.609460785147,NaN,2.48771365628223,0.00059309157735143
45,NaN,0.0059919702417259,NaN,0.139166232458928,NaN,552.570503638835,NaN,NaN,NaN,NaN
50,0.0760372781664352,NaN,NaN,NaN,NaN,NaN,481.360629011303,0.0450820578295554,6.13437458424993,NaN
55,NaN,0.00537376054244245,69.7743850863349,NaN,5.50542185088409,640.20135632042,NaN,NaN,NaN,0.000447010563668961
60,0.0652445726226725,NaN,NaN,0.161409693359626,NaN,NaN,NaN,0.0491464600684368,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,533.360729275077,NaN,11.4262718926262,NaN
70,NaN,0.00344714023519992,NaN,NaN,5.27326167930738,603.960520637695,NaN,NaN,NaN,NaN
75,0.0725566322232776,NaN,NaN,0.168357974575095,NaN,NaN,NaN,NaN,NaN,0.000496321511528621
80,NaN,NaN,NaN,NaN,NaN,NaN,533.287134023428,0.0568940828319867,16.6438641217468,NaN
85,NaN,0.00452211586153176,NaN,NaN,4.27670178741501,529.171682562813,NaN,NaN,NaN,NaN
90,0.0760592748137126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.147432530246807,NaN,NaN,NaN,NaN,19.8469352813787,0.000452592772976767
100,0.0687707121711339,0.00448008188577209,NaN,0.161358111924551,3.8164019272895,417.072254924971,458.81478975282,0.0510533592674145,22.586271797551,0.000384962767826138
150,0.057107958727103,NaN,NaN,0.194916633807246,3.57621654393256,325.347901141315,348.275189778125,0.0369622017232228,25.4601564315012,0.00032386282997878
200,NaN,NaN,NaN,0.189852548856438,3.12250347985605,313.082259682494,330.422120624189,0.0371954980803382,NaN,0.000240359801307232
