t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,0.00313277220552232,0.000491454072340731,22.3407888419187,0.00377523742699139,-0.326825243154396,-17.1521773064325,-22.7796921531,-0.00207133106844812,-0.431296989215051,7.35563390293185e-05
6.5,0.191935201950498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.242839450189525,NaN
7.5,NaN,0.0421560498503464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,-38.6825798371771,NaN,NaN,NaN
9,NaN,NaN,25.7211679362543,NaN,NaN,-12.5537895796773,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0490996915924237,2.67967829606242,NaN,NaN,-0.00130562453240916,NaN,0.000191887304397616
15,0.161468378643694,0.0233727478873389,NaN,NaN,NaN,NaN,59.9610957282163,NaN,1.29973109254664,NaN
20,0.117377250774558,NaN,27.3727499280867,0.0682460471406492,5.97600088814165,358.810545800206,NaN,0.00758022711910358,0.135080996292994,NaN
25,NaN,0.0169470963519607,NaN,NaN,NaN,NaN,192.700724033427,NaN,NaN,0.000607056593015475
30,0.124631105589647,NaN,27.8401762418401,NaN,6.76128368381462,585.78645046504,NaN,NaN,3.14509833206708,NaN
35,NaN,0.0128489120714934,NaN,0.0779916156559929,NaN,NaN,548.367551462065,0.0363882892529147,1.65683227704589,0.000680982506987323
40,0.126281954841428,0.0139105737629686,19.6783750135209,NaN,7.50826290721461,762.468742016139,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.106164250859888,NaN,NaN,651.094752931475,0.064906537040614,7.45292554743797,NaN
50,0.109738793722847,NaN,NaN,NaN,NaN,758.87012150521,NaN,NaN,NaN,0.000731895239378335
55,NaN,0.00945664760418915,26.860797438087,NaN,6.94567524869081,NaN,850.559953232875,NaN,11.0188970907613,NaN
60,0.0885959552958805,NaN,NaN,0.0854507790021353,NaN,NaN,NaN,0.0803701136608556,NaN,NaN
65,NaN,0.00989922920650244,NaN,NaN,NaN,752.169303621292,845.165368807428,NaN,NaN,0.000725007430090365
70,0.0952742085150914,NaN,NaN,NaN,7.04180366243391,NaN,NaN,NaN,18.7018227881338,NaN
75,NaN,NaN,24.5792663338667,0.10472411656908,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,0.00751544872816646,NaN,NaN,NaN,684.370165118749,626.063163157854,0.0745834941402102,NaN,0.000573535815047013
85,NaN,NaN,NaN,NaN,6.04765140098093,NaN,NaN,NaN,25.5562614994432,NaN
90,0.102352310529521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.00706602013634651,NaN,0.112328591213449,NaN,NaN,661.882391407174,NaN,NaN,NaN
100,0.0851108323244465,0.0078891649599815,NaN,0.106378793781199,5.29588737920742,697.892002239678,622.461399807052,0.0668417632554155,29.0603442246328,0.000601617406087555
150,0.0947940091616377,0.00448152180674761,NaN,0.115595510306216,4.69306714282613,491.755930010407,562.692258281224,0.0474913718753518,38.5741069743432,0.000438473654768389
200,NaN,NaN,NaN,0.0996312270168412,3.87322747574677,435.038068939088,410.162170330403,0.0457165537836728,NaN,0.000385669505978635
