t,STAT_Obs,pSTAT_pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT3_Obs
0,0.944171459401579,0.000921802628353372,0.00940267298526855,-0.00450209164665458
4,0.426323039892057,NaN,NaN,NaN
4.5,NaN,NaN,0.0691498846745261,NaN
5,NaN,0.356006737571757,NaN,NaN
5.5,NaN,NaN,NaN,0.0391228999545918
8.5,0.025370514689267,NaN,NaN,NaN
9.5,NaN,0.278250291641715,0.138483165983858,NaN
10,NaN,NaN,NaN,0.200630925605772
15,-0.0544051162032528,0.257276036748823,0.116260804229305,0.250477550934172
20,0.124196594984201,0.244116294626785,0.108435839214627,0.22473508614868
25,NaN,0.233332612259351,0.108561337662191,NaN
30,0.198491180576743,NaN,NaN,0.218556429130879
35,0.345223780976613,0.160549926449111,0.0696321232930153,0.150314061704749
40,0.533907961189672,0.102757110401877,0.0492972927731583,NaN
45,NaN,NaN,NaN,0.0937943414422544
50,0.707466133764207,0.0805722675378384,0.0153880383389907,NaN
55,NaN,NaN,NaN,0.0800341880002337
60,0.976350169584394,0.0194398459995378,0.0122344056749996,NaN
65,NaN,NaN,NaN,0.0332061826632164
70,1.01938251082065,0.000983983407449658,0.013765171241148,NaN
75,NaN,NaN,NaN,0.00266233532091628
80,0.951601771169033,NaN,NaN,NaN
85,NaN,-0.0141253007650708,0.00131873380539287,NaN
90,NaN,NaN,NaN,-0.0175759395088634
100,NaN,NaN,NaN,-0.00246438921302708
