t,input_il6,nSTAT3_Obs
120,0,26.8566414377942
120,0,39.9759950266885
120,0.0005,23.8289176067072
120,0.0005,38.3468345275827
120,0.005,33.2904309090829
120,0.005,35.0116515707038
120,0.005,35.3366971120974
120,0.005,40.3837129832216
120,0.005,37.108818312307
120,0.005,39.236846945034
120,0.005,32.6722390781669
120,0.005,30.3128444718127
120,0.05,38.0494637033515
120,0.05,36.5612431736337
120,0.1,39.6459969915713
120,0.1,36.4090165696906
120,0.1,45.0434907038701
120,0.1,30.463814966368
120,0.1,33.5326794741433
120,0.1,37.5960423795254
120,0.5,36.5587567453328
120,0.5,27.7465200222682
120,0.5,35.8987648761993
120,0.5,36.2283874111655
120,0.5,31.75978230848
120,0.5,31.8154598224154
120,1,41.4527584147096
120,1,33.3217859767914
120,1,41.1449047491443
120,1,28.0951864979065
120,2.5,46.3775841292583
120,2.5,36.9574498661071
120,5,53.7620658272071
120,5,44.7334713592088
120,5,35.4149421702425
120,5,37.976396742792
120,10,38.8926033138556
120,10,37.5767395259799
120,10,44.7046716923559
120,10,42.0412313822733
120,10,39.0095136104157
120,10,36.4808650833087
120,10,39.5554768734383
120,10,40.3480640085108
120,25,36.3340188695169
120,25,29.3451205565425
120,25,53.4076624673916
120,25,45.8860568572232
120,50,44.4589462613583
120,50,29.0136628704943
120,100,46.3771125972812
120,100,43.6988702331163
120,100,43.7210688884305
120,100,41.7233674383954
120,100,40.4739192297491
120,100,27.9777230693309
120,200,35.1291796681431
120,200,38.9246236648997
120,500,40.2799149505627
120,500,48.9738031984513
