t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.171755190713334,0.000381193754361012,0.00111545589524461
20,NaN,0.00816295682664613,NaN
25,0.151715645099331,NaN,0.0300136409055639
40,NaN,0.00609891259477422,NaN
50,0.080575901532428,NaN,0.0190218336232105
65,NaN,0.00304537454289576,NaN
75,0.0722767220881778,NaN,0.0129319180395703
90,NaN,0.00319030020135962,NaN
100,0.0656805879630575,0.00336102678200062,0.0111923077600909
150,0.0898304538267487,-0.000175882981597636,0.00153133642539649
200,0.124946718122858,0.000551838811883493,0.000906890435656577
250,0.130795775632679,-7.79858433020207e-05,0.000323249496896468
300,0.149381941344739,NaN,-0.00104147200733029
350,0.159274575823024,0.000747760868090213,0.000111339449141858
450,0.176893414673533,NaN,0.000575935169118769
