t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.201757818034782,0.000608966340084606,0.00199359135285748
20,NaN,NaN,0.00442143607530696
25,NaN,0.00134681003239389,NaN
30,0.120247789035475,NaN,NaN
45,NaN,0.00143704624128127,0.00588033119766098
55,0.180013178252365,NaN,NaN
65,NaN,NaN,0.00422665405137192
70,NaN,0.00164498126750687,NaN
90,0.148637646849436,NaN,0.00624928746055786
100,0.163145184142497,0.00132706113817462,0.00495703219314148
150,0.190954202033022,0.00135599106310467,0.00531510729217354
200,0.121447165539363,0.00161494382104359,0.00606445429982143
250,0.159496954295677,0.00123294781889484,0.00466857597470431
300,NaN,0.000989863959420263,0.00490715454460395
350,0.151023202475085,0.00140348694650916,0.00513535840477668
450,0.140567695396128,NaN,NaN
