t,input_il6,nSTAT3_Obs
730,0.1,32.035438440065
730,0.1,34.3067630704683
730,0.5,27.8131169832872
730,0.5,36.558745659885
730,1,40.6507191853246
730,1,41.5364599732994
730,2.5,29.2121513141295
730,2.5,34.8202513002015
730,5,29.6753155985478
730,5,38.6946416237644
730,10,32.5282310314412
730,10,33.3248828910518
730,25,30.7226154901132
730,25,35.6049181668454
730,50,38.3995628063572
730,50,43.0310009158489
730,100,38.0002132045638
730,100,49.0268169717193
730,500,40.585418678682
730,500,46.4396327382753
