t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.178243939127469,-0.000188097185585841,0.00231065294747095,35.3101544866028
10,NaN,NaN,NaN,50.6857214069499
15,0.140148713165765,0.00851063489111794,0.0275867843646021,NaN
20,NaN,NaN,NaN,57.9304133454151
30,0.115439597143886,0.0082801148308397,0.0313769747888864,NaN
35,NaN,NaN,NaN,39.5601893244807
45,0.0905922821695701,0.00582746999355436,NaN,30.3824233176056
50,NaN,NaN,0.0158539600944699,NaN
60,NaN,0.00335199276439832,NaN,NaN
65,0.0491594742635366,NaN,NaN,38.0175934463947
70,NaN,NaN,0.0123324142801939,NaN
80,NaN,0.0028788803519509,NaN,38.9604006446367
85,0.0460033859240485,NaN,NaN,NaN
90,NaN,NaN,0.0116202014433164,NaN
100,0.0547659158686616,0.0028143761316225,0.0134572750759381,38.1891177845364
150,0.0631959711709965,0.00262652775981703,0.0153177725304192,48.577773384638
200,0.0777568894117716,0.00346783893218158,0.0125690146017108,NaN
