t,input_il6,pJAK1_gp130_Obs
1000,0.1,-0.000440833463654665
1000,0.1,-0.000361401409520671
1000,0.5,0.000104064105568083
1000,0.5,0.000812813289004452
1000,1,0.000242560452170922
1000,1,0.000682220126015275
1000,2.5,0.00049551628835153
1000,2.5,0.000706443890148722
1000,5,0.00108471178124165
1000,5,0.00124448124321164
1000,10,0.0012972054374043
1000,10,0.00177570406124062
1000,25,0.00267307488524699
1000,25,0.00327932333915187
1000,50,0.00480722374546857
1000,50,0.00512465920595283
1000,100,0.00547816252046424
1000,100,0.00565794857582548
1000,500,0.00848913053726702
1000,500,0.00864671020483531
