t,input_ruxolitinib,JAK1_gp130_Obs
24,0,0.117947648134608
24,0,0.172215190920831
24,0,0.177947910723089
24,0,0.26532977374117
24,10,0.174144979733692
24,10,0.22687235069364
24,50,0.177409303825599
24,100,0.177847303561912
24,100,0.185481965124139
24,100,0.191069734003958
24,100,0.196737619098118
24,200,0.141857954438087
24,400,0.175026904971546
24,500,0.215875299902316
24,600,0.164769678519839
24,600,0.184017137006111
24,800,0.182908285055074
24,1000,0.20004442000209
24,2000,0.165326476521244
24,5000,0.223942672997437
