t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.198150244609082,0.000455683045889912,0.000607853425227136,30.8311929859131
8,NaN,NaN,NaN,45.4838455279712
15,NaN,NaN,NaN,36.7202581291362
20,NaN,0.00291454654710811,NaN,NaN
25,0.204151176256596,NaN,0.00992298406906701,36.5518112015915
35,NaN,NaN,NaN,37.1248235366953
40,NaN,0.00215446064310502,NaN,NaN
45,NaN,NaN,NaN,30.3875485514706
50,0.179315479550931,NaN,0.00983501789182149,NaN
60,NaN,NaN,NaN,54.7190268220047
65,NaN,0.00204191246120242,NaN,NaN
75,0.142033805447433,NaN,0.00873807714279106,42.8920186048028
90,NaN,0.00200179791554604,NaN,NaN
95,NaN,NaN,NaN,47.3803647307294
100,0.134441801134389,0.00158938091186628,0.00781077883275023,39.7313559640188
150,0.169996287973022,0.00166114718958493,0.00684468269513749,NaN
200,0.129474789022344,0.00113483610278159,0.00395692604545195,NaN
250,0.109119957444501,0.00200312345782712,0.00846472373132269,NaN
300,0.100522629874744,0.0015563449678664,0.00657124729840876,NaN
350,0.125904500256576,NaN,NaN,NaN
400,NaN,NaN,0.0088153478380184,NaN
450,0.128004989008086,NaN,NaN,NaN
