t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.198788063669465,0.000790464547801291,0.00188799693444006
15,NaN,0.0130071739147729,NaN
20,0.124999256372168,NaN,0.0512706311115515
30,NaN,0.0113524602294251,NaN
40,0.0602798183768126,NaN,0.0271401680459251
50,NaN,0.00331325339984737,NaN
60,NaN,NaN,0.00663353471532627
65,0.0172995192549756,0.00165557582186476,NaN
80,NaN,NaN,0.00746017977673584
85,NaN,0.000651618795286117,NaN
90,0.00186506443272039,NaN,NaN
100,0.00181196089717806,0.00104899449878509,0.000434806644384724
150,-0.000426191285036746,0.000766238239810314,0.00230699481163267
200,-0.00291743373974074,0.000271384197644643,0.00174320351409994
250,-0.00469874017950279,NaN,0.0016921394891847
300,0.00813298661921532,NaN,NaN
350,-0.00354160787056318,NaN,NaN
