t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.17165537477214,4.89965220619992e-05,-0.000863819294383114,37.1727014437338
7.5,NaN,NaN,NaN,46.7863285179584
10,NaN,NaN,0.0421953608442485,NaN
15,0.108739131283289,0.0131480977628691,NaN,67.9017428458
20,NaN,NaN,0.0466784528531042,NaN
25,NaN,NaN,NaN,55.8628705585123
30,0.126553745597509,NaN,NaN,NaN
35,NaN,0.010179211003156,0.0381765816817963,31.281131360921
45,NaN,NaN,0.0190287394829931,36.115570577791
50,0.0291331258761058,0.00297234739865084,NaN,NaN
55,NaN,NaN,NaN,32.005599289359
60,NaN,NaN,0.0142160960917782,NaN
70,0.00540766262776108,0.00314981949142226,NaN,31.4198337850427
80,NaN,NaN,0.00697074545846103,NaN
90,NaN,NaN,NaN,45.6102378017248
95,0.0412488146980865,0.0048820399968432,0.00892276382207728,NaN
100,0.0374944118441428,0.00395798199761083,0.0162645081190624,47.256036268282
150,0.0444957718802941,0.0047240216108638,0.0164435538099643,NaN
200,0.0390077085339485,0.00363923557082058,NaN,NaN
250,0.0600665033273392,0.00409547107526827,NaN,NaN
