t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.201051208558381,6.88048654300241e-05,0.00173804631940033
10,NaN,NaN,0.043659484307229
15,NaN,0.0128108707796883,NaN
20,0.13636347677063,NaN,0.0495676893740569
25,NaN,0.00552602160997459,NaN
30,NaN,NaN,0.0235831693627758
40,NaN,0.000386058638081594,NaN
45,0.0826523931947317,NaN,0.0024292477725366
60,NaN,0.000273491456608362,-0.00584458671265498
70,0.0266492149587111,NaN,NaN
75,NaN,-0.000177413408850933,-0.000574109732998681
95,0.064818683920173,NaN,NaN
100,0.0500276898326533,0.000397848779057636,0.000715368662844662
150,0.114162353996874,0.000400099555276092,NaN
200,0.113841050291919,NaN,NaN
250,0.126448008671466,NaN,NaN
300,0.156559874743514,NaN,NaN
350,0.156044962317854,NaN,NaN
450,0.157576250650369,NaN,NaN
