t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.212226669592054,0.000299191668012387,0.0013536979687643
10,NaN,NaN,0.0134904637838667
15,NaN,0.00451214733570773,NaN
20,NaN,NaN,0.0164305263103587
25,0.198277731399744,0.000643423166232993,NaN
35,NaN,NaN,0.0041421457716051
40,NaN,0.000103837106632983,NaN
45,0.141050025718621,NaN,0.00112909642689794
55,NaN,0.000180945039269207,NaN
60,NaN,NaN,0.00139370471768726
70,0.12410192239159,NaN,NaN
75,NaN,0.000145433101964359,NaN
80,NaN,NaN,0.000752950594428076
95,0.12631436929217,0.00025711495201662,NaN
100,0.0873344169836852,0.000443072085355739,0.0010710922462623
150,0.171179665115284,0.000242899219263896,-3.46214584722759e-05
200,0.125276131358499,NaN,NaN
250,0.15326211523923,NaN,NaN
300,0.168056107769513,NaN,NaN
350,0.198044502363781,NaN,NaN
450,0.185757537293284,NaN,NaN
