t,input_il6,pJAK1_gp130_Obs
190,0.1,0.000191047440195727
190,0.1,0.000406288159325788
190,0.5,-0.000233331234079424
190,0.5,0.000906388831192364
190,1,0.000485812678930645
190,1,0.00076084225592923
190,2.5,0.000508738511070876
190,2.5,0.00143662356975106
190,5,0.00152788009290508
190,5,0.00175868249134291
190,10,0.00175777568022626
190,10,0.00217402229837676
190,25,0.00307644406567839
190,25,0.003214785393457
190,50,0.00429152747457478
190,50,0.0043844127082671
190,100,0.00547300387822353
190,100,0.00583560260149103
190,500,0.00850369611451947
190,500,0.00899885144917415
