t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.19464775582578,0.000267050069256542,0.000926278693607377
10,NaN,0.00113281539394585,NaN
15,NaN,NaN,0.014564420215586
20,NaN,0.00022527729221865,NaN
25,0.198559875425051,NaN,0.00472169953553826
30,NaN,0.000370172564591838,NaN
40,NaN,NaN,0.00231666825348483
45,NaN,0.000224142457427699,NaN
50,0.146675711677003,NaN,NaN
55,NaN,0.000149109382239721,NaN
60,NaN,NaN,0.000920626758010654
70,NaN,0.00016828495376975,NaN
75,0.0966301192564603,NaN,NaN
80,NaN,NaN,0.000717715184745051
90,NaN,0.000178008738836636,NaN
100,0.0932048406974893,0.0002117616619606,0.00129745624087325
150,0.0623243585546264,0.000310602998697946,0.000928693060223757
200,0.197327787156724,NaN,NaN
250,0.144689616575771,NaN,NaN
300,0.189165446431022,NaN,NaN
350,0.163001375918235,NaN,NaN
450,0.160684260432625,NaN,NaN
