t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.189874147419758,-4.87756087633106e-05,0.0012555969383582
10,NaN,NaN,0.0369452139299945
15,NaN,0.0110678766926834,NaN
25,0.144685318794064,0.0011986035736374,0.027191329974113
35,NaN,NaN,0.00554195580413945
40,NaN,0.000301827389790047,NaN
50,0.0701176944810904,NaN,0.00154882483042596
55,NaN,0.000324786613390508,NaN
65,NaN,NaN,0.00126569487221827
75,0.0714586214237635,-0.000110204457790097,NaN
85,NaN,NaN,0.0011209946007105
95,NaN,-9.93924276721291e-05,NaN
100,0.0671993831425361,0.000120587386881333,0.000387668715128975
150,0.108850286191973,0.000330060307054037,0.00204399342675661
200,0.131929656786039,NaN,NaN
250,0.148222542585453,NaN,NaN
300,0.117816388560642,NaN,NaN
350,0.165927974324346,NaN,NaN
450,0.178044873305601,NaN,NaN
