t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.180194438290611,0.000310480214575036,0.000383112437288799
10,NaN,NaN,0.0254454930354327
15,NaN,0.00125311189436044,NaN
25,0.152978755770175,NaN,0.00694103977946557
30,NaN,0.000255455549930493,NaN
35,NaN,NaN,0.00216549311227104
45,NaN,0.000292942002582128,NaN
50,NaN,NaN,5.01473325513987e-05
55,0.1054769300239,NaN,NaN
65,NaN,0.000207170814334208,0.000529003352894727
85,0.10941526109459,0.000227941867054044,0.00106868106607798
100,0.150277524789093,0.000236310572218573,0.00112416601010044
150,0.135253301154132,0.000297381973103917,0.00196732382579964
200,0.157311740301303,NaN,NaN
250,0.172859866050331,NaN,NaN
300,0.182073496028704,NaN,NaN
350,0.173076601144584,NaN,NaN
450,0.142523150535846,NaN,NaN
