t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.181118793384898,0.000876004100237554,0.00148603892719541,27.9385213704953
10,NaN,NaN,NaN,42.9328209005384
20,NaN,NaN,0.0185129639415182,42.5878004094381
25,0.162523097823825,0.00358881034893715,NaN,NaN
30,NaN,NaN,NaN,40.4539442638314
40,NaN,NaN,0.0209287886945128,52.5995392964017
50,NaN,0.00393902985808744,NaN,NaN
55,0.149410238725309,NaN,NaN,41.5336681529188
65,NaN,NaN,0.0146481157700343,43.4760713883986
75,NaN,0.00311702974510051,NaN,NaN
80,0.119635594060284,NaN,NaN,39.1988881037843
85,NaN,NaN,0.0103661798158621,NaN
100,0.0778570049483763,0.0031403950293191,0.0117722865817922,36.4010666660966
150,0.11428313558306,0.00313367488383289,0.00657984721332368,45.9700714569859
200,0.0921575593427855,0.00301584348338798,0.00833338294322735,35.2840157690484
250,0.118788201144925,NaN,0.0108685305072307,NaN
300,0.120294009277738,0.00298658489356115,NaN,NaN
350,0.119845173319422,0.00286196111109343,0.0104732991283988,NaN
450,0.0830240428192045,NaN,NaN,NaN
