t,input_il6,pJAK1_pgp130_Obs
96,0,0.0025713219309417
96,0,-0.00505517894669598
96,0.5,0.00361124004800602
96,0.5,-0.000248413010594205
96,1,-0.000169553510631769
96,1,-0.000550144730638638
96,2.5,0.00835868653692776
96,2.5,0.0132681694581571
96,5,0.0479286299118253
96,5,0.0539725125846466
96,10,0.00156563021415716
96,10,0.00439151328168474
96,25,0.0196916477978926
96,25,0.0234928603760455
96,50,0.0052353400598854
96,50,0.008640776543153
96,100,0.031876198643121
96,100,0.0375517177938415
96,500,0.0614043396394924
96,500,0.064976963164242
