t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.180230253638292,0.000295245231943656,0.00157867570381699
15,NaN,0.000313491367109057,0.00779754844079356
25,0.146435545888127,0.000261809563054149,NaN
30,NaN,NaN,0.0022913035706255
45,0.148381026465127,0.000282090793853743,0.0011141032690061
60,NaN,0.000228472147918563,NaN
65,NaN,NaN,0.000724689367289321
70,0.132634648028265,NaN,NaN
80,NaN,0.000293517709449153,NaN
85,NaN,NaN,0.000777753665473582
100,0.129545799545587,0.000216140197159657,0.000850397952505872
150,0.147318770233146,0.000232469451093091,0.000738443008459183
200,0.193292069766166,NaN,NaN
250,0.16596084303899,NaN,NaN
300,0.110640932682658,NaN,NaN
350,0.193340684369977,NaN,NaN
400,0.179394509566476,NaN,NaN
