t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.187416877509901,0.000309391313575118,0.00114091010182581,34.0407483071153
9.5,NaN,NaN,NaN,43.2808642150754
15,NaN,0.000324570322460748,0.00686513415953288,NaN
20,NaN,NaN,NaN,44.8339700004104
25,0.166042431926794,NaN,NaN,NaN
30,NaN,0.000318249425204711,0.00204686434326654,44.5556757475301
45,NaN,NaN,NaN,24.5668543242157
50,0.13651729181602,0.000274700960504685,0.00110637728594059,NaN
55,NaN,NaN,NaN,41.6785573151491
70,NaN,0.00022463860575184,0.000871555190793856,NaN
75,NaN,NaN,NaN,36.3287989613129
80,0.180730469375743,NaN,NaN,NaN
90,NaN,0.000234760339010099,NaN,NaN
95,NaN,NaN,0.00127347865094979,27.7081811031275
100,0.140489394702932,0.00026063053194301,0.00130938598207015,35.0201849140718
150,0.135601456076771,0.00029742617910258,0.00108482300204119,NaN
200,0.184523604793689,0.000246050357351178,0.00147833423187863,NaN
300,0.207684940133089,NaN,NaN,NaN
350,0.153385607675758,NaN,NaN,NaN
400,0.169724360799319,NaN,NaN,NaN
