t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.176155917273549,0.000426667050559417,0.00224288487403338
15,NaN,NaN,0.0519351224282068
20,0.10655579984222,0.0116385923955308,NaN
30,NaN,NaN,0.0502418775195043
40,0.0859562287905354,NaN,NaN
45,NaN,0.0117837581511684,0.0360784321288733
60,NaN,NaN,0.0331580507873342
65,0.0629673317980833,NaN,NaN
70,NaN,0.00460639847705619,NaN
80,NaN,NaN,0.0126041610196422
90,0.0360810942928485,NaN,NaN
95,NaN,0.00265455940827011,NaN
100,0.0359423173950613,NaN,0.00771009013690672
150,0.0486872647842932,0.00447899733446831,0.0206275637342999
200,0.0458249398047444,0.0048750942189681,0.0205018040840041
250,0.061370760195868,0.00469647845846758,NaN
300,0.0401182497177874,NaN,NaN
