t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.223214961820646,0.000234812903327004,0.00183925938184637
10,NaN,NaN,0.0183907137507395
15,NaN,0.00641114494879512,NaN
25,0.163459176625806,NaN,0.0256566780943178
30,NaN,0.00606057510651308,NaN
35,NaN,NaN,0.0256634319501714
50,0.180104828386604,0.000259859089116209,0.00667201075599341
65,NaN,0.000487206358020666,0.000863641555552855
75,0.075755309249226,NaN,NaN
85,NaN,0.000130659069742277,-4.62522768304116e-05
100,0.129730467349959,0.000250732393896964,0.00231741075807573
150,0.10772805817544,0.000355698286197288,0.00322372000997387
200,0.133313081630099,0.000132484501880169,NaN
250,0.119445266520358,NaN,NaN
300,0.152835439997105,NaN,NaN
350,0.208115144343882,NaN,NaN
450,0.211717336203397,NaN,NaN
