t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.180825455257758,2.61236995344222e-05,9.06109837256982e-05
15,NaN,0.0130677012480555,0.0495087272606549
25,0.150409565059299,NaN,0.0359463915177253
30,NaN,0.000468103210772499,NaN
40,NaN,NaN,0.00522276313457458
45,0.0540390403693547,0.000172619353484945,NaN
60,NaN,0.000119850477577056,-0.000774704706312652
70,0.024281600235994,NaN,NaN
80,NaN,NaN,-0.00161430588191934
85,NaN,0.000268071536273431,NaN
95,0.0774304995301581,NaN,NaN
100,0.0787996394532669,-0.000165600249473274,0.00117792811198731
150,0.101764248901709,4.66971181441476e-06,0.000798245310180858
200,0.13422099100445,NaN,NaN
250,0.116714254538048,NaN,NaN
300,0.144395175164878,NaN,NaN
350,0.152842084911989,NaN,NaN
400,0.173306784594239,NaN,NaN
