t,input_il6,JAK1_gp130_Obs
23,0.1,0.175830671662285
23,0.1,0.176997047701947
23,0.1,0.187651393165948
23,0.1,0.198542839943224
23,1,0.164435922317294
23,1,0.182314468448866
23,1,0.210562641183304
23,1,0.216512270171072
23,5,0.17493529419206
23,5,0.181057655190207
23,5,0.194738136963363
23,5,0.234529040835093
23,10,0.151674178144981
23,10,0.162138905870873
23,10,0.196435157941885
23,10,0.204714022978175
23,50,0.130109190534781
23,50,0.139587305615463
23,50,0.146266869457158
23,50,0.147520923201286
23,100,0.06623130695409
23,100,0.0912974362049022
23,100,0.0921897182633514
23,100,0.133707684995809
23,500,0.00810041015038671
23,500,0.0169366949556604
23,500,0.0214025731016655
23,500,0.0301467237880863
