t,input_il6,pJAK1_gp130_Obs
43,0.1,-0.000565431844623809
43,0.1,0.000110144459097742
43,0.5,-0.000316544041192824
43,0.5,0.000368142869025852
43,1,-0.00118995063910619
43,1,-0.000456293397118916
43,2.5,0.000331627963940189
43,2.5,0.000993628077596998
43,5,-0.00141001864355869
43,5,0.00139638242699055
43,10,0.0011356210564534
43,10,0.00188583710025195
43,25,0.00361490296617637
43,25,0.00383484603649053
43,50,0.00640748427506334
43,50,0.00677430269924611
43,100,0.011698273166534
43,100,0.0125586711551279
43,500,0.0321251464121343
43,500,0.0326774828797407
