t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.239064992246724,0.000172544295229562,0.000940845658044375
10,NaN,NaN,0.0443931731094272
15,NaN,0.0017647644569339,NaN
25,0.168778488683525,NaN,0.0100829942982305
30,NaN,0.00024011173014701,NaN
35,NaN,NaN,0.003086042820982
45,NaN,0.000243926907424803,NaN
50,0.0457982017799291,NaN,0.00167734257985914
60,NaN,0.000176374387024346,NaN
70,NaN,NaN,0.00142284252048972
75,0.0695823647955855,NaN,NaN
80,NaN,7.02227906331826e-05,NaN
90,NaN,NaN,0.00031919453413626
100,0.104991757416446,6.94027026354746e-05,-0.000603177682343946
150,0.122117142112462,7.88685742855978e-05,0.000637190854996333
200,0.149987843910539,NaN,NaN
250,0.160001927355298,NaN,NaN
300,0.159027899959132,NaN,NaN
350,0.1133706594724,NaN,NaN
450,0.159916305181238,NaN,NaN
