t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.154416962351576,0.000599333609226141,-0.0020435550850927
15,NaN,0.0127038705439827,NaN
20,NaN,NaN,0.0523685703111698
30,0.0791897004389912,0.0109397372114587,NaN
45,NaN,NaN,0.0216098828491017
50,NaN,0.00348044377686156,NaN
55,0.0777400757332699,NaN,NaN
65,NaN,0.00258384010824523,0.00798144274567352
85,0.0448143051828623,0.00235699068729891,NaN
90,NaN,NaN,0.0130947835583385
100,0.0943747945194472,0.00156385129214301,0.00380016649098582
150,0.0698163797058964,-0.000721576948477527,0.00271809843973462
200,0.108097823113034,0.000272569008135458,0.00119296531994269
250,0.152585182058322,0.000149637632824562,0.0024637387670656
300,0.150597610442341,NaN,-0.000310979483156166
350,0.172342850122252,NaN,0.00103081941673527
450,0.178735171040322,NaN,NaN
