t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
16,5,0.157041864811092,0.0048018328838224,0.00612576847742527,51.1827226780734
16,5,0.162499394818088,0.0060365960901692,0.0109115034775572,46.0864507541298
16,5,0.157326376250481,0.00357013452075381,0.0228543633230606,51.4665192018671
16,5,0.143582992838756,0.0061964847963864,0.0182321625278545,58.5286389084733
16,20,0.118969260639199,0.00845767945746522,0.0325595159513073,62.849188358766
16,20,0.155653547490827,0.00772894182169299,0.0257571555556194,57.4510380329425
16,20,0.172809471113169,0.00864232382285195,0.0307186801090657,36.4563890220962
16,20,0.125940263420543,0.00612771306417249,0.0376295767006136,60.76537347475
16,40,0.202211147503717,0.00143912094743879,0.00790870428700334,42.5181442500986
16,40,0.200120338395744,0.00107345994837667,0.00342715481582586,25.186933206011
16,40,0.192341649975383,3.24210891578778e-05,0.00527399255526578,32.2464465379607
16,40,0.166116434214504,0.00347642971075637,0.00068898427898927,32.5356568981615
16,90,0.101374938815643,0.0129032968274942,0.0586622731488419,79.0859402378138
16,90,0.12955332275693,0.0146818335075881,0.0554056318394235,70.9206927973204
16,90,0.137016826929857,0.012997739996265,0.0494868760954049,71.3965414113456
16,90,0.0885424313492237,0.0139760514899011,0.0496086446527928,69.5148692591494
