t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.213073575373578,0.000596594819291269,0.000783739470742809
15,NaN,0.00798745959693895,0.0280351080597943
25,0.18158805376382,0.00416421833760969,NaN
30,NaN,NaN,0.0172956828529122
45,NaN,-0.000182467519354098,NaN
50,0.0778033502194222,NaN,0.00208018488307498
60,NaN,0.000947182497246858,NaN
70,NaN,NaN,0.00014562942917102
75,0.0523204520936884,NaN,NaN
80,NaN,0.00011257275684754,NaN
95,NaN,NaN,-0.00159186497773754
100,0.106678179796644,-0.000186565812452278,0.00044681832515078
150,0.135545155923976,-2.92124815387855e-05,0.000846285300660589
200,0.144319106125493,NaN,NaN
250,0.166622184307224,NaN,NaN
300,0.152239262715914,NaN,NaN
350,0.199510046015372,NaN,NaN
450,0.154390574194507,NaN,NaN
