t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.182741140070159,0.0001735619846316,0.00145005716334628
15,NaN,0.0106460012891425,NaN
20,0.108977329005697,NaN,NaN
25,NaN,NaN,0.0499861204470534
30,NaN,0.011494983077075,NaN
40,0.0913754349643037,NaN,NaN
45,NaN,NaN,0.0407017184500296
50,NaN,0.00897002986768,NaN
65,0.0729172626613208,0.00811989230221535,NaN
70,NaN,NaN,0.0306268924714419
85,NaN,0.00643076323487574,NaN
90,0.0698487868085902,NaN,NaN
100,0.0507110865847482,0.00698857043414387,0.0274227130912827
150,0.0447678920252913,0.00564888041347494,0.0183664311675341
200,0.0391836102175811,0.00327870221987986,0.0095586244455321
250,0.0186806803217467,0.00238160801432049,0.00822171746088578
300,-0.00333267223582823,0.000496483056007502,0.00739012565713138
350,0.00708922364819416,NaN,0.00273928261618333
450,0.00854471342887796,NaN,0.00306844685207857
