t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.163956497805179,0.000295452984053355,-0.000300752996358794
15,NaN,0.000695301913891503,0.0368611126432016
20,0.171328496870623,NaN,NaN
30,NaN,0.000223601529147626,0.00554381619935067
40,0.0708917023999552,NaN,NaN
45,NaN,NaN,0.000569278786879737
50,NaN,0.000137717612967066,NaN
60,0.00781058076153504,NaN,NaN
65,NaN,NaN,0.00140197674590929
70,NaN,-3.67266133019954e-05,NaN
85,0.0830270353838452,NaN,0.000306694042570032
90,NaN,0.000105212272893074,NaN
100,0.0854652000807999,9.46727774280158e-05,-0.00112411633122961
150,0.100965386974803,9.40204340486803e-05,0.00219301673827301
200,0.112625982369623,NaN,NaN
250,0.152546156793384,NaN,NaN
300,0.132901416965977,NaN,NaN
350,0.153031190882622,NaN,NaN
400,0.197651542693105,NaN,NaN
