t,input_il6,pJAK1_gp130_Obs
200,0.1,0.00077249964415806
200,0.1,0.000207681564141211
200,0.5,0.000512404530116501
200,0.5,0.000369839756268619
200,1,0.00123738499052926
200,1,0.000141253637946468
200,2.5,0.00168158180779246
200,2.5,0.00155637212343592
200,5,0.0104591192650161
200,5,0.00852653032550488
200,10,0.00010328470575703
200,10,-9.86239757699855e-05
200,25,0.00272854735360966
200,25,0.00339533964976364
200,50,0.00050290423529979
200,50,4.70556267436742e-06
200,100,0.00605620879188554
200,100,0.00643257468393096
200,500,0.0192403202939546
200,500,0.0202977087131741
