t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,20581047.2002218,0.000226254506359881,-3373.8728376908,19765381.8106064,-4171.79866072766,120.751660783588,0.0156989572107527,142.138341267783,88.6073976557681
150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.956798921833,108.356534697899
200,NaN,NaN,NaN,NaN,NaN,98.2248111817354,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,277790.365032626,NaN,NaN,129.710975754782,100.691395824818
400,12760040.6551234,NaN,370777.815388786,NaN,NaN,100.776661981159,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.0150269535060721,96.273268016857,93.7221561947415
500,NaN,0.00608225205089298,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,11258072.9836817,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,192653.13946443,97.1300005511388,NaN,138.142724020392,115.038582327289
800,NaN,NaN,215321.240498985,NaN,NaN,NaN,NaN,99.3326911098712,93.3499594842613
850,8528854.41076645,NaN,NaN,NaN,NaN,99.1826784508616,NaN,NaN,NaN
950,NaN,0.00471924028044561,NaN,NaN,129649.432455063,NaN,0.01570756526249,NaN,NaN
1000,NaN,NaN,184563.016429181,5667179.88192002,NaN,119.556040826138,NaN,125.893850221362,65.6702608174002
1500,3899938.68040488,0.0036471795011176,115301.093951596,3707801.83449558,83714.4925714267,103.50402068631,0.0183240221065203,105.474518757229,119.272848014995
2000,1812908.09938338,0.00287825413257241,35447.1802214253,NaN,46819.4446890326,105.475841958753,0.0179439953302463,86.9544800930545,103.510116680815
2500,1684859.16002933,0.00223733176216175,18727.1969612616,575873.825338621,16775.7170993483,117.98914485516,0.0159996064311687,114.271712437767,105.663086065476
3000,589469.132142633,NaN,1779.21425805234,1177010.41386362,8549.9270004316,107.948829525423,NaN,NaN,NaN
3500,-70332.4489282583,0.000998065100275512,NaN,NaN,NaN,NaN,0.0165749030401216,NaN,NaN
4000,282947.565629011,0.00125607959747953,3105.14304661465,-255249.232237582,1781.28069211782,114.653413539047,0.0168705463273967,NaN,NaN
4500,NaN,NaN,37120.2106846587,1490332.01893896,16285.020323081,NaN,NaN,NaN,NaN
5000,26453.5260002305,0.00113946860496589,NaN,NaN,NaN,NaN,0.0136931048394096,NaN,NaN
5500,NaN,NaN,-6187.64583315732,NaN,-9394.76000506213,NaN,NaN,NaN,NaN
6000,955128.20304413,0.000298515764984291,NaN,125826.943155892,NaN,NaN,0.0159036076998731,NaN,NaN
6500,NaN,NaN,-7120.75245343989,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,235484.933586812,NaN,NaN,NaN,NaN,NaN
7500,-91407.5604969144,0.00120735509162778,NaN,NaN,NaN,NaN,0.0166349560446455,NaN,NaN
8000,NaN,NaN,902.35559439146,NaN,NaN,NaN,NaN,NaN,NaN
8500,633884.885210219,0.000317534306364586,NaN,69644.5552934334,NaN,NaN,0.0161562970943887,NaN,NaN
