t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,19087228.5543135,-0.000154459626027177,-331171.056265984,20397671.7421546,612921.675615562,111.062381071412,0.0131712373943744,94.200253246487,143.732018866607
35,NaN,NaN,NaN,NaN,9450473.26378802,NaN,NaN,NaN,NaN
40,8668511.9783331,NaN,5204632.90229064,4749043.9370942,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.242974229204,115.134475415128
70,NaN,NaN,NaN,NaN,6890364.84028906,102.004165809402,NaN,NaN,NaN
80,9466952.03270338,NaN,6928426.01603464,1163738.19616769,NaN,NaN,NaN,NaN,NaN
100,7033684.64264962,NaN,7966383.80446268,NaN,4206071.64449166,NaN,NaN,NaN,NaN
150,5502359.77264553,NaN,4791299.03510406,-265820.020991799,1789231.44764998,86.2127947951156,NaN,79.3487948957555,111.744434102592
200,3380707.95630182,NaN,3423846.38013549,85717.7290454528,268696.315165347,88.7347969957974,NaN,104.699178071582,100.657443899834
250,2527887.25576452,0.0141179607796898,1850262.16629301,-151991.345071278,606517.943549105,NaN,NaN,104.395957360382,NaN
300,NaN,NaN,1103268.25058285,-579795.879322455,-245429.888777074,117.060837827097,NaN,NaN,129.693437754237
350,1087865.53601241,NaN,NaN,443203.902849036,421124.705837903,NaN,NaN,91.9709210588876,83.4704750121891
400,426420.54761604,NaN,-513218.393513325,NaN,148514.939660377,105.850668498425,NaN,NaN,NaN
450,NaN,NaN,-503474.078644991,311869.703418548,NaN,120.609681045723,NaN,113.840104148676,77.604082037806
500,1386461.09413424,NaN,NaN,NaN,-220373.114756602,NaN,0.0158098654653145,NaN,NaN
550,NaN,0.00399867958934673,-268515.154486063,NaN,NaN,NaN,NaN,101.124137153391,126.544286232952
600,429313.937179026,NaN,NaN,NaN,-197273.655098869,110.865452019628,NaN,NaN,NaN
650,NaN,NaN,-283146.091849608,NaN,NaN,NaN,NaN,128.77178656202,NaN
700,552775.756024125,NaN,NaN,NaN,NaN,105.0845447984,NaN,NaN,117.531901083615
800,-386784.533558185,NaN,443265.073774698,NaN,NaN,NaN,NaN,118.308937305814,NaN
850,NaN,0.0013504616941452,NaN,NaN,NaN,135.18323066144,NaN,NaN,118.453550255633
950,NaN,NaN,NaN,NaN,NaN,NaN,0.0159786162353787,NaN,NaN
1000,NaN,0.00153268337220313,NaN,NaN,NaN,88.8092321279772,NaN,81.5352166815045,100.644267978918
1500,NaN,0.000235081875947766,NaN,NaN,NaN,144.144740104012,0.0145157604332625,NaN,NaN
2000,NaN,0.000694592338379936,NaN,NaN,NaN,NaN,0.0178224077854003,NaN,NaN
2500,NaN,0.00110765378004501,NaN,NaN,NaN,NaN,0.0189179833716294,NaN,NaN
3000,NaN,0.000703218743204593,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN,0.0149249266185144,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.0162352346287803,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.0174981330782761,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.0162396813554639,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.0176782547173377,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.0167484853946008,NaN,NaN
