t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,19558710.5106212,-0.000101938830591949,387066.465969101,19998432.6369326,-272352.748248749,147.24980388687,0.018751874238403,97.308943446025,115.025585801815
35,NaN,NaN,6561501.83190081,NaN,11427937.0251567,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,686802.81843558,NaN,NaN,NaN,NaN,NaN
45,7820050.95545736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.5436431679554
65,NaN,NaN,NaN,NaN,NaN,106.886971542862,NaN,112.357640623445,NaN
75,NaN,NaN,8249479.58546704,NaN,5026756.45589225,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,406276.377104159,NaN,NaN,NaN,NaN,NaN
95,7517807.03869358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,6775447.0633198,837353.100036921,3221913.49846075,NaN,NaN,NaN,106.16442452975
150,5067872.47337222,NaN,4297235.99723145,-257603.527290043,740512.219155232,95.2451193666239,NaN,118.59346658293,NaN
200,2577524.86420524,NaN,2506955.87858049,NaN,42226.7906732092,103.553898714414,NaN,104.190629483661,104.816991530677
250,1676871.34677208,0.0126871177215516,1629143.23991862,-794886.352160133,-8275.71862976876,111.569894801957,NaN,105.934229835584,136.571197930588
300,637440.084492121,NaN,806551.997277638,-683351.717325527,-355982.412247268,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,-552752.694621406,NaN,113.576004329259,NaN,92.9782576376144,110.533055247614
400,371538.305711672,NaN,143161.073786672,NaN,88996.1418370343,NaN,NaN,NaN,NaN
450,NaN,0.00602318432819027,176616.552516664,-270646.546132809,622.974263391637,104.735396262135,0.0131413846140208,79.5521771489896,119.031630326686
500,28730.7071478243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,-88909.3286636854,NaN,-28664.1841040123,101.522399672161,NaN,107.006482349853,120.746156006988
600,-619964.835197203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,-214802.117602143,107.2871545695,NaN,97.0126835500055,102.208118117064
700,NaN,0.00244716112401597,302263.600827995,NaN,NaN,NaN,NaN,NaN,NaN
750,-101270.550753111,NaN,NaN,NaN,NaN,NaN,NaN,114.197889368884,NaN
800,NaN,NaN,NaN,NaN,NaN,103.72083456745,NaN,NaN,118.305765738787
900,-860241.704255061,NaN,NaN,NaN,NaN,NaN,0.0146305075806205,120.495367400809,NaN
950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.198871091881
1000,NaN,0.00113457223999154,NaN,NaN,NaN,92.3515239263124,NaN,107.462335045909,97.2648842795923
1500,NaN,0.000776869599175754,NaN,NaN,NaN,NaN,0.0119435347679368,122.404511601866,NaN
2000,NaN,0.0010226159272073,NaN,NaN,NaN,NaN,0.0144644679589365,NaN,NaN
2500,NaN,0.0012590190059362,NaN,NaN,NaN,NaN,0.0216154058004996,NaN,NaN
3000,NaN,0.000925962203177936,NaN,NaN,NaN,NaN,0.0189446962774591,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.0174131036965405,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.0187832496465921,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.0160329785211844,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.0188020741954694,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.0187862007109209,NaN,NaN
