t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,19987188.3923313,0.000325210670066425,-19592.4570692035,19637584.4970501,18355.2210195286,87.9342397186225,0.0204096428788536,101.860659874174,108.419784026566
100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.175444563627,105.312931639355
150,15641181.2429704,NaN,NaN,14867303.7644088,858771.742885999,95.269234861879,NaN,NaN,NaN
200,NaN,NaN,1051647.67235545,NaN,NaN,NaN,NaN,134.354072431642,NaN
250,NaN,NaN,NaN,NaN,NaN,119.547213585874,NaN,NaN,98.8746433653966
300,NaN,NaN,NaN,11191084.8222114,NaN,NaN,NaN,NaN,NaN
350,12025343.6236832,0.0100647556287469,NaN,NaN,710641.319588497,NaN,NaN,104.616407652888,109.472204283906
400,NaN,NaN,874309.992012074,NaN,NaN,130.083532880479,NaN,NaN,NaN
450,NaN,NaN,NaN,8314284.22268241,NaN,NaN,0.0175394016484663,122.842976166438,NaN
500,NaN,NaN,NaN,NaN,453767.853887355,NaN,NaN,NaN,75.6681861137568
550,9160274.44792189,NaN,NaN,NaN,NaN,96.8846743329751,NaN,NaN,NaN
600,NaN,NaN,585527.428079692,8485063.4109445,NaN,NaN,NaN,108.04092550065,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.7548196958098
700,NaN,NaN,NaN,NaN,350910.648897565,NaN,NaN,NaN,NaN
750,NaN,0.00830038152811816,NaN,NaN,NaN,123.100977228203,NaN,84.3399381152325,NaN
800,5371920.88196792,NaN,422641.97211104,4552684.78677567,NaN,NaN,NaN,NaN,121.990911014053
900,NaN,NaN,NaN,NaN,NaN,NaN,0.0155279579980881,126.364253261749,NaN
950,NaN,NaN,NaN,NaN,229618.970033281,100.239214485688,NaN,NaN,NaN
1000,3119905.15560207,0.00593633063791969,215986.490952822,4198079.46983273,188659.98374452,111.751411695458,NaN,119.47170876141,107.467225856955
1500,1351424.3444372,0.0037912480225881,56509.174936987,2816866.88649529,9648.32376762207,127.690903106114,0.0201279277748063,112.483087272026,92.9152452203151
2000,NaN,0.00330587971568959,38831.0829431197,-1055913.15739529,72933.2133035251,113.13900890779,0.0128970161431427,100.60804658987,86.1652934179562
2500,NaN,0.00156611975350185,17060.5185361294,-1316847.61706856,-7796.34027683472,68.8417458568976,0.0170125020704312,NaN,NaN
3000,NaN,0.00223425395479069,33352.9538906586,NaN,17507.4472877896,NaN,0.0128523889369302,NaN,NaN
3500,NaN,NaN,453.742497111034,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,0.00135745071173044,NaN,NaN,NaN,NaN,0.0205650910060906,NaN,NaN
4500,NaN,0.000687442176954882,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.0175025095326395,NaN,NaN
5500,NaN,0.000941610036181511,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.0148639049896781,NaN,NaN
6500,NaN,0.000624514986440479,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.0123970844861463,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.0183200661514582,NaN,NaN
