t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,20028067.368365,0.000165159018263788,-178485.727218183,20532373.2164667,-90994.6821103141,115.168759487522,0.0178162525419061,96.1298719569069,111.636710982663
45,NaN,NaN,NaN,11893801.7637683,5194768.02055453,NaN,NaN,NaN,NaN
50,NaN,NaN,3228055.8825013,NaN,NaN,NaN,NaN,NaN,NaN
55,13162106.9501433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,121.775327334378,NaN,NaN,114.714989260182
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102.657511120733,NaN
90,NaN,NaN,NaN,NaN,5192139.25658727,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,5215641.02507333,NaN,NaN,NaN,NaN,NaN
100,10974055.9432606,NaN,5156545.1523935,NaN,NaN,NaN,NaN,NaN,NaN
150,8627854.37031784,NaN,4832803.22339199,3301384.43929401,3477790.14520251,109.371570836519,NaN,92.8426970010723,97.5142007347127
200,6108611.31825467,NaN,3958038.86172576,2126097.65967475,2264064.30618718,NaN,NaN,NaN,NaN
250,NaN,0.0141107847779835,NaN,NaN,935939.378472694,104.121488400437,NaN,96.085997813808,109.937450620267
300,1158275.28990613,NaN,1514996.11787407,-182472.802736414,538225.415212004,NaN,NaN,NaN,93.5586288105429
350,2290000.6122552,NaN,1129231.12694406,108848.207062046,NaN,86.3605157961062,NaN,126.347787644033,NaN
400,NaN,NaN,NaN,NaN,252031.109944416,NaN,NaN,NaN,125.611254452814
450,91410.1536825871,NaN,549031.977358882,NaN,230478.734883525,94.9261706637752,NaN,95.0483904306558,NaN
500,NaN,0.00822484687107969,NaN,-31665.4221172731,NaN,NaN,0.0165475566862118,NaN,NaN
550,-314465.585493815,NaN,-32495.2274040069,NaN,-119876.570479261,93.7282999894311,NaN,NaN,90.5871980952552
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.5714310870377,NaN
650,-65224.6831461541,NaN,NaN,NaN,-258763.187860032,NaN,NaN,NaN,NaN
700,NaN,NaN,-230993.203826867,NaN,NaN,114.315059898703,NaN,NaN,114.970086862487
750,-1832561.21109835,NaN,NaN,NaN,-253618.291154196,NaN,NaN,91.7429041250085,NaN
800,NaN,0.00298000679415988,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,-177159.78119104,NaN,NaN,NaN,NaN,NaN,62.2623712678944
900,52649.236773928,NaN,NaN,NaN,155352.070581268,81.7054590761897,NaN,93.4154653935315,NaN
1000,-113015.59069843,0.00140960004724354,NaN,NaN,NaN,124.11417547936,0.0140794332981337,114.097561501909,97.9201234114375
1500,NaN,0.0011455061782499,NaN,NaN,NaN,114.810387403416,0.0136615377643826,110.935707021165,119.670195163468
2000,NaN,0.000788058376151603,NaN,NaN,NaN,NaN,0.0170088998235229,NaN,NaN
2500,NaN,0.00145501059273257,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,0.001265353625324,NaN,NaN,NaN,NaN,0.017061256391527,NaN,NaN
3500,NaN,0.00124896331430615,NaN,NaN,NaN,NaN,0.0148396542473323,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,0.013178296955674,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.0195413506081218,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.0173481833105789,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.017616324513041,NaN,NaN
