t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,20173062.0847072,-0.000105241976246943,63115.6610894556,20385541.8027919,17384.983079886,88.4683240190118,0.0124705040999973,75.3847330011147,98.1554760514429
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.0505818534949,NaN
85,NaN,NaN,NaN,NaN,NaN,101.722128577295,NaN,NaN,NaN
90,NaN,NaN,NaN,13129436.8047974,NaN,NaN,NaN,NaN,102.073735291185
95,13836244.7849086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,2138141.78575934,NaN,2397723.14418626,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.0178898280344,NaN
200,9849558.5599839,NaN,NaN,8051202.5042811,1820516.06946054,96.2227947940058,NaN,NaN,115.548784326676
250,NaN,NaN,2385842.52771679,NaN,NaN,105.413138422741,NaN,101.945106281404,NaN
300,5526166.22778994,NaN,NaN,4390368.39290799,NaN,NaN,NaN,NaN,112.878693823091
350,NaN,NaN,1681432.13957883,NaN,886370.268907495,105.174904543804,NaN,87.0126385888268,NaN
400,7200240.25501928,0.0123008251436116,NaN,3934068.71970807,NaN,NaN,NaN,NaN,88.5839130964392
450,NaN,NaN,NaN,NaN,564630.428088347,NaN,0.015373874455968,96.8492608258233,NaN
500,2568114.38478742,NaN,988707.868217662,1871243.70801742,NaN,119.266724715407,NaN,NaN,103.128116773195
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115.590264080173,NaN
600,NaN,NaN,NaN,NaN,305133.019725031,112.556569411974,NaN,NaN,NaN
650,1445401.7249848,NaN,420881.292966242,798327.564522028,NaN,NaN,NaN,NaN,86.1434852907075
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.0562808166167,NaN
750,NaN,NaN,NaN,NaN,215580.642350603,110.670330908607,NaN,NaN,NaN
800,NaN,NaN,NaN,-635292.142056088,NaN,NaN,NaN,NaN,NaN
850,2783475.12936757,0.0060201485482381,135474.129783898,NaN,NaN,NaN,NaN,123.808180599731,87.0142176100604
900,NaN,NaN,NaN,NaN,-177135.953043936,113.550249212169,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,NaN,0.0184099387305809,NaN,NaN
1000,-180630.566995663,NaN,243316.562506021,453708.226976507,113515.191251204,85.2972124433745,NaN,111.51208850216,63.011571424987
1500,4004.27988125513,0.0013455743904062,217170.213576625,-1212339.42639213,-68159.2887567,98.4746093736377,0.016857819172208,138.408121294688,116.410371315977
2000,NaN,0.000864462946008132,NaN,NaN,-195628.74790415,113.050350662285,0.0168781213645767,NaN,NaN
2500,NaN,0.00153461115911968,NaN,NaN,NaN,NaN,0.0159195386805383,NaN,NaN
3000,NaN,0.0011840126152095,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,0.000601068917364893,NaN,NaN,NaN,NaN,0.0173653612263821,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.0163518855104562,NaN,NaN
4500,NaN,0.0011518705288581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.011073804256717,NaN,NaN
5500,NaN,0.00115863821965881,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.0162501141781695,NaN,NaN
7000,NaN,0.000405954447484319,NaN,NaN,NaN,NaN,0.0160561321042519,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.0157942703038726,NaN,NaN
