t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8273.21998123213,-473.645210796632,153.496509850126,90.6680652845165,1.01011023536092
0.3,5619.78596504143,NaN,NaN,NaN,NaN
0.6,3329.73358650269,NaN,NaN,NaN,NaN
0.9,2185.44346865173,NaN,NaN,NaN,NaN
1.5,1150.4740079986,NaN,NaN,NaN,NaN
2,427.030020894408,NaN,NaN,NaN,NaN
2.5,136.450028048389,NaN,NaN,-31.5729441596427,NaN
3,337.037162508759,650.261453964982,264.50110309311,NaN,NaN
3.5,NaN,NaN,NaN,NaN,1.49214048990062
4,101.630901439673,NaN,NaN,NaN,NaN
5.5,NaN,2454.13189051279,NaN,-64.1915038025726,NaN
6,NaN,NaN,799.93056800588,NaN,NaN
7,NaN,NaN,NaN,NaN,2.5617020849566
8,NaN,NaN,NaN,82.6419801739067,NaN
9,NaN,40145.7697135366,15422.5131643736,NaN,NaN
10,NaN,NaN,22040.9113519179,596.624845307873,2.07746498017346
15,NaN,4431.82088712697,19141.8237292626,1662.23502190273,0.114834280740916
20,NaN,738.670533595624,12271.724151882,2745.76055493107,0.0269409100574477
25,NaN,NaN,7706.66236372679,3167.1179494104,-0.00271952334414571
30,NaN,310.437691915358,4949.40460502209,NaN,0.00695474362938928
35,NaN,NaN,3675.26187983133,3914.96403664121,-0.0150775255622075
40,NaN,NaN,3784.60637462066,4337.65687801811,-0.0844533160796253
45,NaN,NaN,NaN,4492.11395673293,NaN
50,NaN,NaN,1839.41762356952,NaN,-0.0128753775019479
55,NaN,NaN,NaN,4732.0159434099,-0.0480952461146601
60,NaN,NaN,1235.06798633984,NaN,NaN
70,NaN,NaN,NaN,4967.09016619152,0.0244163774285831
