t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me3K36me0_Obs,K27me2K36me2_Obs,K27me3K36me2_Obs
0,0.00414294967873593,0.00520775450295284,0.00100424399933998,0.0709724532458762,0.0112388477578122,0.0503705686592382,0.00500065169354355,0.020762643178575,0.00220061500874189
0.35,0.000604750601767456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.75,4.87117550885537e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1.35837639243733e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,1.46349411298423e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1.37767853216943e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,9.91924705632504e-07,NaN,NaN,NaN,NaN,0.0494418877595212,NaN,NaN,NaN
3.5,NaN,NaN,0.000931716999437596,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0.00134004756751543,NaN,0.0702344334082836,0.0127162574195675,NaN,NaN,0.0199064781013276,0.00272882447606615
4.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00560258327191892,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.0443020205981356,NaN,NaN,NaN
7.5,NaN,NaN,0.00104835869901447,NaN,NaN,NaN,NaN,NaN,0.00226873568138244
8,NaN,0.00117826657741106,NaN,NaN,0.0135078533063995,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.0611653487990184,NaN,NaN,NaN,0.0255708409228921,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00567974916821891,NaN,NaN
10,NaN,NaN,0.001111910536425,NaN,0.0133269125337396,0.04233186221305,NaN,NaN,0.00227703036383847
15,NaN,0.000865710888777953,0.000949967824971565,0.0450222796196382,0.0114376375564351,0.0430438919464012,0.00697775603861706,0.0308382277547417,0.00231276029812513
20,NaN,0.00050652813158359,0.000743244749577049,0.0297111500065164,NaN,0.0564947474703347,0.00430752404756113,0.0323142465148869,0.00279146642840464
25,NaN,0.000484627879194898,0.00113384003720674,0.0259451017070285,0.0142822373701646,0.054009819950023,NaN,0.0262777930371444,0.00323795008218958
30,NaN,0.000372244134453994,NaN,0.0155616177585314,0.0143504003012341,0.0389216812660296,0.00705221045886353,0.0368696807822637,NaN
35,NaN,NaN,0.00170680295820551,NaN,NaN,0.0367504947589634,0.00472212360342725,NaN,0.00249505026635113
40,NaN,0.000166835609632997,0.00127490372538057,0.0126290932926052,0.0124160667753087,0.0295777577458767,NaN,0.0288067982192613,0.00336678831172828
50,NaN,0.000125702120140559,0.000792876057287301,0.00696012374412221,0.0161196920696187,0.026498428897577,0.00556629015201189,0.0286507093357108,0.00290385745961971
60,NaN,6.90145987233801e-05,0.00134090644677755,0.00383406647143314,0.0159659287014106,0.0286338832625828,0.00567107403457931,0.0483474601830041,0.00285555275864637
