t,S4_Obs,ppS2_S4_S4_Obs
0,65.2417333618311,0.0105518177300692
55,48.059882013397,NaN
65,NaN,6.33465716849215
100,42.8812606765261,NaN
150,58.7693887412022,3.85186765332947
200,NaN,5.26015415503512
250,52.9452605616788,3.05175228772007
300,50.6088071422798,NaN
350,NaN,4.22069400594963
400,79.258718139375,NaN
450,NaN,3.12097537031279
500,55.2201526388611,NaN
550,NaN,1.93754108661809
600,56.0497561173508,NaN
700,52.2262239415458,1.8205495218632
850,74.009660529163,1.93712435322102
1000,63.3649014847682,1.08490641048931
1500,NaN,1.04499701311627
