t,S4_Obs,ppS2_S4_S4_Obs
0,74.5341654486491,0.107844247854046
45,31.6029627667808,NaN
55,NaN,13.2958316022341
90,28.3971837144067,NaN
100,NaN,18.4579609347605
150,27.478654416831,19.3193301326704
200,31.5876158427136,NaN
250,29.209755411794,17.9678585192997
300,28.2691964704467,18.7728672338385
350,39.1106726877266,NaN
400,46.2869517223802,14.8197020642008
450,NaN,12.8470157754324
500,37.9369156973064,NaN
550,39.316596942732,10.418446752016
650,58.274009406221,12.2806289283678
750,42.9832358599765,NaN
800,NaN,10.0301432239819
850,55.7719272812133,NaN
900,NaN,8.68091136145428
1000,48.2831408779818,8.29298309262468
1500,NaN,5.12705944080964
