t,S4_Obs,ppS2_S4_S4_Obs
0,166.461694877873,0.100717535026667
40,130.181268481269,NaN
55,NaN,44.3453595256917
85,138.033607355724,NaN
100,NaN,51.7412249082893
150,145.401153975597,48.3776471285794
200,153.997380927097,NaN
250,NaN,33.4549221405984
300,197.298227905215,42.0698604198377
350,161.485657961031,40.8534696975557
400,131.040861823497,NaN
450,NaN,18.1259334548017
500,140.976848130165,NaN
550,NaN,17.4479770581353
600,268.919124520596,NaN
650,NaN,15.5721528486162
700,190.373624605916,NaN
750,NaN,11.9720447069719
850,246.733890498567,NaN
900,NaN,7.56837366477375
1000,195.832524501126,7.46967776344403
