t,epo_level,Compound_5_Obs
12,2.5e-09,40.6528207005254
12,7.905e-09,37.5453057946382
12,1.25e-08,29.4939213788895
12,1.25e-08,32.5040790836662
12,1.25e-08,33.8086537561634
12,1.75e-08,26.0630117858024
12,1.75e-08,26.2274704633034
12,1.75e-08,28.0161281160301
12,2.5e-08,22.4311734954029
12,2.5e-08,23.1577856743364
12,2.5e-08,23.8308684131688
12,3.95e-08,18.5345489104181
12,7.9e-08,5.71960506937712
12,1.25e-07,4.64151075237331
12,1.7675e-07,3.20669277838064
12,2.5e-07,0.774023540937091
12,7.905e-07,1.35775455924592
12,7.905e-07,2.31432985082467
12,7.905e-07,4.50462372038025
12,2.5e-06,1.89407267281935
