t,input_il6,Compound_2_Obs
110,0,19.3525693060882
110,0,32.8900135742897
110,0.5,5.31405329622529
110,0.5,9.88569478837609
110,1,27.4744535445049
110,1,32.03331794198
110,2.5,20.2420405072357
110,2.5,30.7158956775983
110,5,7.11905259631057
110,5,12.7489907526343
110,10,15.6822459635594
110,10,19.9304511163942
110,25,12.1079703493157
110,25,12.4965170815572
110,50,10.8147568783248
110,50,48.0456983530026
110,100,10.811548922454
110,100,85.0441795272667
110,500,14.0506978386213
110,500,15.2446093625765
