t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.00435993001535465,22.7845094497917,11.4111724192843,0.225049349089403
10,4.50056928791017,39.5392645700312,59.4227062547205,6.82973553447098
20,11.0548480810233,25.246803668678,82.0342172715228,38.4604446332038
30,NaN,NaN,135.670295932706,74.5392301730399
35,0.159835425721573,12.309767975224,NaN,NaN
45,0.00977551309227537,12.012699208753,80.7856263477068,16.0927532871902
55,NaN,NaN,5.02326362352644,0.609875319456348
60,0.00549916284310947,NaN,NaN,NaN
65,NaN,15.5779686169815,NaN,NaN
75,NaN,NaN,10.6010683691195,0.124319395391665
80,0.0558226033706451,21.1190959745584,NaN,NaN
90,NaN,NaN,11.7792219684601,3.16983007509475
100,0.0723916869741604,53.9282940800466,14.4290103147727,2.88077570822672
150,0.112236791988116,17.715346496515,37.3110564388231,3.05382074904236
