t,input_ruxolitinib,Compound_2_Obs
33,0,8.66011495955988
33,0,15.4642782682636
33,0,19.1943092884457
33,0,48.4798758441336
33,10,18.2947735125281
33,50,6.58152330077849
33,50,7.13661199670944
33,50,14.5959464153242
33,50,22.5586307847457
33,100,8.32588159427663
33,200,21.6749493663711
33,200,40.2588474660646
33,400,7.9811801684961
33,400,17.2732879727523
33,500,34.0860713513328
33,600,51.4835916433408
33,800,7.34910846089224
33,1000,5.84608121260201
33,2000,15.2896086571161
33,2000,39.101768882221
33,5000,15.9459487831138
