t,Compound_1_Obs,Compound_4_Obs
0,0.00536828529273248,0.0831470855566953
4,NaN,0.0931479781697072
8.5,NaN,0.040807064412538
15,NaN,0.0219417653531688
20,0.337260832772114,0.0213335852413535
25,NaN,0.0228091814104487
30,NaN,0.00316034358331009
35,NaN,0.00429634803875066
40,0.557626824718311,NaN
45,NaN,0.000234569197389729
55,NaN,7.78418866246402e-05
65,0.115894485823767,0.000251017942316767
75,NaN,0.000188141030929181
85,0.389812443007333,NaN
100,0.166110401549071,NaN
150,0.13262229990082,NaN
200,0.331873144003413,NaN
250,0.464560752261024,NaN
300,0.370895177269787,NaN
350,0.131604629658365,NaN
450,0.179163139856055,NaN
