t,Uptake1_Obs,Uptake2_Obs
0,0.0736570521518769,1.1400893446313
8,NaN,127.328376140752
9.5,14.4817779465906,NaN
15,NaN,141.993304768801
20,18.7712894457175,NaN
25,NaN,206.048180822537
30,30.1439997001692,NaN
35,NaN,230.110243873263
40,24.4767366256676,NaN
45,NaN,245.025478666178
50,33.1152746776376,NaN
55,NaN,225.784748703604
65,31.1393260493959,267.3042399501
80,40.393220937649,277.297086579701
95,NaN,352.883693855774
100,39.27974964232,261.008070640551
150,53.8558854529139,322.443434071327
200,48.0424120604078,433.905980840846
