t,Rec1_Obs,Uptake1_Obs,Uptake2_Obs
0,67.9616962828167,0.0107213020740216,0.117334442748256
9.5,53.2613071646556,1.75604065355463,16.6294051623962
20,57.9348702343619,2.69655307568354,22.3947612582564
30,48.8773540721145,2.72045433679612,27.2201970080846
40,57.8835781010627,5.15833716926178,22.52479350553
50,57.0610005906921,2.66542328846313,29.236117857222
65,71.7661464200086,5.24180422183903,43.2714088770729
80,55.841837198603,5.28965608792722,38.3426215526755
100,52.4078940544221,5.97128805414428,24.9518270835514
150,55.238393798506,6.65884894038583,38.6233079259359
200,72.8832843587264,6.81016270566891,36.1009343175221
