t,Rec1_Obs,Uptake1_Obs,Uptake2_Obs
0,51.0279508272572,0.0743508292275591,1.04266692898046
3.5,23.7827225780287,NaN,NaN
7.5,11.7387898751461,NaN,NaN
8.5,NaN,54.205300943264,712.618836662887
10,14.3388545850679,NaN,NaN
15,8.98914262079271,NaN,727.857953461116
20,7.23383846146919,53.3961168672851,NaN
25,7.73158516251929,79.7416064404907,702.411567666915
35,5.96927609082727,66.0921240439003,814.640063630361
45,7.19703007644626,NaN,1088.67229287369
50,NaN,75.9571703532668,NaN
55,8.62131160145749,NaN,786.451084281183
60,NaN,82.07182058337,NaN
70,NaN,NaN,1423.20726268999
75,NaN,66.7277897008088,NaN
85,NaN,NaN,1030.11934759026
90,NaN,80.2806857319709,NaN
100,NaN,97.5003965231693,941.045190297668
150,NaN,107.864985702577,1312.19269210431
200,NaN,136.221112077819,1567.03398830913
