t,dEpo_i_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.0063591878858591,132.094375454821,5625.99704768743,1661.91752488355
30,25.2779707745156,NaN,79446.9742863666,8070.13057024824
35,NaN,759.74654930719,NaN,NaN
60,31.9687290763684,NaN,2270.63136544192,3239.52480178645
65,NaN,12955.2954990203,NaN,NaN
85,NaN,NaN,NaN,5382.43189887252
90,19.8920296348477,NaN,NaN,NaN
95,NaN,NaN,1252.38680001126,NaN
100,NaN,863.419842701896,NaN,209.630513553469
150,20.624276311674,7425.33992205336,1809.67643220016,405.430703833506
200,26.2255590595329,86.8403387362233,1293.6017855977,515.886446689639
250,34.4908268051172,1836.00704624038,3633.54694081149,5317.04644303102
300,25.1623872332656,3591.16436633646,12179.1268679381,3362.80395493075
350,81.2126796336958,214.618447914881,6831.92072989694,NaN
400,NaN,117.037393382693,NaN,1579.70017377064
450,43.8673595907255,NaN,3262.08260741003,2673.28380618245
500,NaN,1519.19226031867,363.555609006022,NaN
550,121.827628392732,NaN,NaN,5529.07460393329
600,NaN,963.176512385213,1047.49443421158,11300.0526110137
650,153.989483840901,NaN,NaN,NaN
750,NaN,279.890009725373,856.531490893639,1479.74474245702
