t,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.076708912033286,0.000634379740513589,0.00253469505098025
8.5,NaN,0.00227707789803544,NaN
10,NaN,NaN,0.0364125821672644
20,NaN,0.000626214916120202,0.0152629353627233
25,0.0802716132337701,NaN,NaN
30,NaN,0.000599490533460144,NaN
35,NaN,NaN,0.00626744169593341
40,NaN,0.000705044747566112,NaN
45,NaN,NaN,0.00407690711997506
50,0.0918631257854532,NaN,NaN
55,NaN,0.000648972989846251,NaN
60,NaN,NaN,0.00329292305595632
70,NaN,0.000727300345097299,NaN
80,0.0871751788349205,NaN,0.00328763363179954
100,0.097540582252016,NaN,NaN
150,0.174484557187385,NaN,NaN
200,0.185465682024563,NaN,NaN
250,0.204351838371759,NaN,NaN
300,0.252085574947952,NaN,NaN
350,0.307326122174139,NaN,NaN
450,0.274334902042082,NaN,NaN
