t,STAT5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,136.384201600802,0.0772985267977634,0.0112846400527841,0.00986402432097118
20,15.0268146892537,NaN,NaN,0.0137852028570049
30,NaN,NaN,0.173744869113831,NaN
35,NaN,0.17445602180085,NaN,NaN
40,49.2282963787595,NaN,NaN,0.0384148343082587
55,NaN,NaN,0.138285537675543,NaN
65,85.2747630700066,NaN,NaN,0.106604367616426
70,NaN,3.37952189069593,NaN,NaN
90,114.372349003645,NaN,0.0818250439192695,0.116579604677213
100,91.3103554332629,5.92296442721175,0.0570172816270724,0.0876351134645252
150,77.0014647173886,10.26785159139,0.0446379276349799,0.0361944509988428
200,85.8769968507438,11.9635127436248,0.0795268990888638,0.0514319186778083
250,79.3355082917082,11.1207672553785,0.060906443656798,0.0614546579220327
300,NaN,12.1614771313314,NaN,NaN
350,98.165133683051,13.669874309335,0.0663818826301213,NaN
450,NaN,10.887136515536,NaN,NaN
500,NaN,13.1357025846646,NaN,NaN
650,NaN,12.9744406389904,NaN,NaN
750,NaN,13.5672313812206,NaN,NaN
