t,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.0756394059847032,0.0130842025260488,0.00992022528214725
15,NaN,0.0139916412964118,NaN
20,0.0885408667659774,NaN,0.0103556845174218
35,NaN,0.0143422267821046,NaN
40,0.0780469315397292,NaN,0.0123333968994803
50,NaN,0.0152753622324397,NaN
60,0.102327678434655,NaN,0.0120555876826496
70,NaN,0.0131260131944413,NaN
80,NaN,NaN,0.0130610600379284
85,0.15381357522922,NaN,NaN
95,NaN,0.0136971769006872,NaN
100,0.203845646698318,0.0119723368884504,0.0113719119993924
150,0.329393524797917,0.0172880315032762,0.0105309969207508
200,0.453306813252911,0.0135858870071846,0.0113549314967038
250,0.454489028415867,0.0141972109747538,0.0112203597871405
300,0.42446513700738,NaN,NaN
